team_name,display_name,main_league,main_league_common_id,country
bucheon fc 1995,Bucheon FC 1995,K League 8,382,South Korea
cheongju,Cheongju,K League 9,382,South Korea
asan,Asan,K League 10,382,South Korea
anyang,Anyang,K League 11,382,South Korea
gimpo fc,Gimpo FC,K League 12,382,South Korea
seoul e-land,Seoul E-Land,K League 13,382,South Korea
ansan greeners,Ansan Greeners,K League 14,382,South Korea
real madrid,Real Madrid,La Liga,383,Spain
girona,Girona,La Liga,383,Spain
barcelona,Barcelona,La Liga,383,Spain
atletico madrid,Atletico Madrid,La Liga,383,Spain
athletic bilbao,Athletic Bilbao,La Liga,383,Spain
real sociedad,Real Sociedad,La Liga,383,Spain
valencia,Valencia,La Liga,383,Spain
betis,Betis,La Liga,383,Spain
las palmas,Las Palmas,La Liga,383,Spain
getafe,Getafe,La Liga,383,Spain
alaves,Alaves,La Liga,383,Spain
osasuna,Osasuna,La Liga,383,Spain
rayo vallecano,Rayo Vallecano,La Liga,383,Spain
villarreal,Villarreal,La Liga,383,Spain
sevilla,Sevilla,La Liga,383,Spain
celta vigo,Celta Vigo,La Liga,383,Spain
mallorca,Mallorca,La Liga,383,Spain
cadiz cf,Cadiz CF,La Liga,383,Spain
granada cf,Granada CF,La Liga,383,Spain
almeria,Almeria,La Liga,383,Spain
leganes,Leganes,La Liga 2,384,Spain
eibar,Eibar,La Liga 2,384,Spain
ferrol,Ferrol,La Liga 2,384,Spain
espanyol,Espanyol,La Liga 2,384,Spain
valladolid,Valladolid,La Liga 2,384,Spain
elche,Elche,La Liga 2,384,Spain
gijon,Gijon,La Liga 2,384,Spain
real oviedo,Real Oviedo,La Liga 2,384,Spain
levante,Levante,La Liga 2,384,Spain
zaragoza,Zaragoza,La Liga 2,384,Spain
racing santander,Racing Santander,La Liga 2,384,Spain
burgos cf,Burgos CF,La Liga 2,384,Spain
eldense,Eldense,La Liga 2,384,Spain
mirandes,Mirandes,La Liga 2,384,Spain
tenerife,Tenerife,La Liga 2,384,Spain
huesca,Huesca,La Liga 2,384,Spain
albacete,Albacete,La Liga 2,384,Spain
fc cartagena sad,FC Cartagena SAD,La Liga 2,384,Spain
villarreal b,Villarreal B,La Liga 2,384,Spain
alcorcon,Alcorcon,La Liga 2,384,Spain
andorra,Andorra,La Liga 2,384,Spain
amorebieta,Amorebieta,La Liga 2,384,Spain
